specific_candidate_combo,n_channels,pct_nonempty_channels
Music,24640,0.1246559818682208
Entertainment/General + Film/TV/Humor,21776,0.1101667476121094
Video games,18514,0.0936639954670552
Lifestyle/General,12432,0.0628946090335114
Hobby/General interests + Lifestyle/General,8716,0.0440950299498138
Entertainment/General + Film/TV/Humor + Lifestyle/General,8508,0.0430427391937833
Entertainment/General + Lifestyle/General,7985,0.0403968350331876
Food + Lifestyle/General,7271,0.0367846446495062
News/Society/Politics,6023,0.0304709001133236
Entertainment/General + Film/TV/Humor + Music,4302,0.0217642059252064
Entertainment/General,3682,0.0186275700178079
Lifestyle/General + Vehicles/Motorsport,3590,0.0181621337218714
Lifestyle/General + Music,3526,0.0178383519507851
News/Society/Politics + Religion,3352,0.0169580702606443
Health/Fitness + Lifestyle/General,3235,0.0163661567103772
Lifestyle/General + Technology,2801,0.0141705115751983
Sports,2754,0.0139327343370568
Entertainment/General + Music,2322,0.0117472073822243
Education/Explainers,1815,0.0091822486644001
Lifestyle/General + Sports,1764,0.0089242350655658
Entertainment/General + Hobby/General interests + Lifestyle/General,1687,0.0085346851222276
Education/Explainers + Lifestyle/General,1680,0.008499271491015
Entertainment/General + Film/TV/Humor + Video games,1669,0.0084436214991096
Education/Explainers + News/Society/Politics,1595,0.008069248826291
Fashion/Beauty + Hobby/General interests + Lifestyle/General,1557,0.0078770033997085
Entertainment/General + Lifestyle/General + Music,1526,0.0077201716043386
Fashion/Beauty + Lifestyle/General,1417,0.0071687307754573
Lifestyle/General + Pets/Animals,1396,0.0070624898818196
Entertainment/General + Film/TV/Humor + News/Society/Politics,1367,0.0069157762667961
Entertainment/General + Film/TV/Humor + Lifestyle/General + Music,1347,0.0068145944633317
Music + News/Society/Politics + Religion,1270,0.0064250445199935
Lifestyle/General + Travel,1109,0.0056105310021045
Education/Explainers + Health/Fitness + Lifestyle/General,1073,0.0054284037558685
Entertainment/General + Lifestyle/General + Pets/Animals,1059,0.0053575764934434
Entertainment/General + Film/TV/Humor + Hobby/General interests + Lifestyle/General,987,0.0049933220009713
Music + Religion,897,0.0045380038853812
Education/Explainers + Lifestyle/General + Technology,829,0.004193985753602
Entertainment/General + News/Society/Politics,813,0.0041130403108305
Lifestyle/General + News/Society/Politics + Religion,766,0.003875263072689
Entertainment/General + Food + Lifestyle/General,738,0.0037336085478387
Food + Hobby/General interests + Lifestyle/General,725,0.0036678403755868
Entertainment/General + Video games,714,0.0036121903836813
Hobby/General interests + Lifestyle/General + Technology,689,0.0034857131293508
Lifestyle/General + News/Society/Politics,688,0.0034806540391775
Hobby/General interests + Lifestyle/General + Pets/Animals,685,0.0034654767686579
Lifestyle/General + Video games,673,0.0034047676865792
Film/TV/Humor + Music,493,0.002494131455399
Lifestyle/General + Sports + Vehicles/Motorsport,487,0.0024637769143597
Lifestyle/General + Technology + Video games,479,0.0024233041929739
Hobby/General interests + Lifestyle/General + Music,465,0.0023524769305488
Hobby/General interests + Lifestyle/General + Video games,427,0.0021602315039663
Food + Health/Fitness + Lifestyle/General,424,0.0021450542334466
Entertainment/General + Film/TV/Humor + Food + Lifestyle/General,399,0.002018576979116
Hobby/General interests + Lifestyle/General + Vehicles/Motorsport,392,0.0019831633479035
Entertainment/General + Film/TV/Humor + Lifestyle/General + Pets/Animals,380,0.0019224542658248
Hobby/General interests + Lifestyle/General + Travel,351,0.0017757406508013
Music + Video games,350,0.0017706815606281
Entertainment/General + Lifestyle/General + Sports,306,0.0015480815930063
Entertainment/General + Film/TV/Humor + Hobby/General interests + Lifestyle/General + Music,303,0.0015329043224866
Education/Explainers + Lifestyle/General + News/Society/Politics,302,0.0015278452323134
Entertainment/General + News/Society/Politics + Religion,280,0.0014165452485025
Entertainment/General + Health/Fitness + Lifestyle/General,277,0.0014013679779828
Food + Lifestyle/General + Travel,256,0.0012951270843451
Health/Fitness + Lifestyle/General + Sports,253,0.0012799498138254
Entertainment/General + Lifestyle/General + Vehicles/Motorsport,251,0.001269831633479
Entertainment/General + Film/TV/Humor + Sports,235,0.0011888861907074
Entertainment/General + Sports,231,0.0011686498300145
Lifestyle/General + Music + News/Society/Politics + Religion,231,0.0011686498300145
Entertainment/General + Film/TV/Humor + Lifestyle/General + Sports,228,0.0011534725594949
Film/TV/Humor + Lifestyle/General + Music,225,0.0011382952889752
Entertainment/General + Lifestyle/General + News/Society/Politics,220,0.0011129998381091
Education/Explainers + News/Society/Politics + Religion,218,0.0011028816577626
Lifestyle/General + Music + Technology,208,0.0010522907560304
Entertainment/General + Film/TV/Humor + Lifestyle/General + Video games,204,0.0010320543953375
Film/TV/Humor + News/Society/Politics,199,0.0010067589444714
Education/Explainers + Entertainment/General,193,0.0009764044034320868
Entertainment/General + Lifestyle/General + Technology,190,0.000961227132912417
Entertainment/General + Lifestyle/General + Video games,189,0.0009561680427391938
Health/Fitness + Lifestyle/General + News/Society/Politics,185,0.0009359316820463008
Sports + Video games,178,0.000900518050833738
Education/Explainers + Entertainment/General + Film/TV/Humor,177,0.0008954589606605148
Hobby/General interests + Lifestyle/General + Sports,176,0.0008903998704872916
Education/Explainers + Hobby/General interests + Lifestyle/General,170,0.000860045329447952
Lifestyle/General + Technology + Vehicles/Motorsport,164,0.0008296907884086126
Lifestyle/General + News/Society/Politics + Vehicles/Motorsport,161,0.0008145135178889429
Education/Explainers + Health/Fitness + Lifestyle/General + News/Society/Politics,157,0.0007942771571960498
Entertainment/General + Film/TV/Humor + News/Society/Politics + Religion,155,0.0007841589768496033
Entertainment/General + Film/TV/Humor + Lifestyle/General + News/Society/Politics,153,0.0007740407965031569
Education/Explainers + Lifestyle/General + Vehicles/Motorsport,151,0.0007639226161567104
News/Society/Politics + Sports,151,0.0007639226161567104
Entertainment/General + Fashion/Beauty + Lifestyle/General,149,0.0007538044358102639
Music + News/Society/Politics,149,0.0007538044358102639
Education/Explainers + Entertainment/General + Lifestyle/General,148,0.0007487453456370407
Education/Explainers + Entertainment/General + News/Society/Politics,132,0.0006677999028654686
Education/Explainers + Entertainment/General + Film/TV/Humor + News/Society/Politics,131,0.0006627408126922454
Food + Lifestyle/General + Pets/Animals,131,0.0006627408126922454
Entertainment/General + Film/TV/Humor + Lifestyle/General + Technology,124,0.0006273271814796827
Lifestyle/General + Music + Religion,124,0.0006273271814796827
Film/TV/Humor + Hobby/General interests + Lifestyle/General + Music,114,0.0005767362797474503
Entertainment/General + Film/TV/Humor + Health/Fitness + Lifestyle/General,113,0.000571677189574227
Education/Explainers + Lifestyle/General + News/Society/Politics + Technology,110,0.0005564999190545572
Entertainment/General + Hobby/General interests + Lifestyle/General + Video games,109,0.000551440828881334
Education/Explainers + Entertainment/General + Film/TV/Humor + Lifestyle/General,103,0.0005210862878419945
Entertainment/General + Lifestyle/General + News/Society/Politics + Religion,99,0.0005008499271491015
Hobby/General interests + Lifestyle/General + Sports + Vehicles/Motorsport,98,0.0004957908369758782
Entertainment/General + Hobby/General interests + Lifestyle/General + Music,96,0.00048567265662943174
Health/Fitness + Hobby/General interests + Lifestyle/General,96,0.00048567265662943174
Entertainment/General + Film/TV/Humor + Music + Video games,91,0.0004603772057633155
Entertainment/General + Lifestyle/General + Travel,91,0.0004603772057633155
Lifestyle/General + Vehicles/Motorsport + Video games,90,0.00045531811559009226
Health/Fitness + Lifestyle/General + Music,89,0.000450259025416869
Health/Fitness + Lifestyle/General + News/Society/Politics + Religion,88,0.0004451999352436458
Entertainment/General + Film/TV/Humor + Lifestyle/General + Vehicles/Motorsport,87,0.00044014084507042255
News/Society/Politics + Video games,86,0.0004350817548971993
Lifestyle/General + Travel + Vehicles/Motorsport,84,0.0004249635745507528
Education/Explainers + Food + Lifestyle/General,79,0.0003996681236846366
Music + Sports,79,0.0003996681236846366
Education/Explainers + Music,77,0.00038954994333819005
Food + Lifestyle/General + Video games,77,0.00038954994333819005
Entertainment/General + Music + News/Society/Politics + Religion,76,0.0003844908531649668
Food + Hobby/General interests + Lifestyle/General + Pets/Animals,68,0.00034401813177918085
Lifestyle/General + Music + Travel,67,0.00033895904160595756
Vehicles/Motorsport + Video games,67,0.00033895904160595756
Entertainment/General + Film/TV/Humor + Lifestyle/General + Travel,66,0.0003338999514327343
Entertainment/General + Music + News/Society/Politics,64,0.00032378177108628785
Film/TV/Humor + Hobby/General interests + Lifestyle/General,62,0.00031366359073984137
Food + Lifestyle/General + Music,60,0.00030354541039339484
Hobby/General interests + Lifestyle/General + News/Society/Politics,59,0.0002984863202201716
Lifestyle/General + Music + Vehicles/Motorsport,57,0.0002883681398737251
Education/Explainers + Hobby/General interests + Lifestyle/General + Technology,56,0.0002833090497005019
Entertainment/General + Film/TV/Humor + Religion,56,0.0002833090497005019
Entertainment/General + Music + Video games,55,0.0002782499595272786
Film/TV/Humor + Lifestyle/General,53,0.0002681317791808321
Entertainment/General + Film/TV/Humor + Hobby/General interests + Lifestyle/General + Video games,52,0.0002630726890076089
Lifestyle/General + News/Society/Politics + Travel,50,0.0002529545086611624
Lifestyle/General + Music + News/Society/Politics,49,0.0002478954184879391
Education/Explainers + Entertainment/General + Film/TV/Humor + Music,48,0.00024283632831471587
Lifestyle/General + News/Society/Politics + Technology,48,0.00024283632831471587
Fashion/Beauty + Food + Lifestyle/General,46,0.0002327181479682694
Film/TV/Humor + Sports,46,0.0002327181479682694
Fashion/Beauty + Health/Fitness + Lifestyle/General,44,0.0002225999676218229
Food + Lifestyle/General + Technology,44,0.0002225999676218229
Education/Explainers + Lifestyle/General + News/Society/Politics + Religion,43,0.00021754087744859965
Fashion/Beauty + Lifestyle/General + Music,43,0.00021754087744859965
Education/Explainers + Lifestyle/General + Music,42,0.0002124817872753764
Education/Explainers + Health/Fitness,41,0.00020742269710215315
Entertainment/General + Music + Religion,40,0.0002023636069289299
Lifestyle/General + Music + Pets/Animals,40,0.0002023636069289299
Entertainment/General + Food + Hobby/General interests + Lifestyle/General,39,0.00019730451675570665
Health/Fitness + Hobby/General interests + Lifestyle/General + Music,39,0.00019730451675570665
Technology + Video games,38,0.0001922454265824834
Entertainment/General + Film/TV/Humor + Lifestyle/General + News/Society/Politics + Religion,37,0.00018718633640926017
Lifestyle/General + Pets/Animals + Sports,37,0.00018718633640926017
Entertainment/General + Film/TV/Humor + Music + News/Society/Politics,36,0.0001821272462360369
Entertainment/General + Film/TV/Humor + Music + Religion,35,0.0001770681560628137
Entertainment/General + Lifestyle/General + Music + News/Society/Politics + Religion,35,0.0001770681560628137
Fashion/Beauty + Hobby/General interests + Lifestyle/General + Music,35,0.0001770681560628137
Education/Explainers + Video games,34,0.00017200906588959043
Education/Explainers + Entertainment/General + News/Society/Politics + Religion,33,0.00016694997571636716
Entertainment/General + Film/TV/Humor + Food,33,0.00016694997571636716
Health/Fitness + Music,33,0.00016694997571636716
Education/Explainers + Entertainment/General + Health/Fitness + Lifestyle/General,32,0.00016189088554314392
Fashion/Beauty + Lifestyle/General + Travel,32,0.00016189088554314392
Film/TV/Humor + Lifestyle/General + Pets/Animals,32,0.00016189088554314392
Hobby/General interests + Lifestyle/General + Technology + Vehicles/Motorsport,32,0.00016189088554314392
Education/Explainers + Religion,30,0.00015177270519669742
Entertainment/General + Film/TV/Humor + Music + News/Society/Politics + Religion,30,0.00015177270519669742
Entertainment/General + Health/Fitness + Lifestyle/General + Sports,30,0.00015177270519669742
Health/Fitness + Hobby/General interests + Lifestyle/General + Sports,30,0.00015177270519669742
Food + Lifestyle/General + News/Society/Politics,29,0.00014671361502347418
Entertainment/General + Fashion/Beauty + Film/TV/Humor + Lifestyle/General,28,0.00014165452485025094
Entertainment/General + Film/TV/Humor + Health/Fitness + Lifestyle/General + News/Society/Politics,28,0.00014165452485025094
Entertainment/General + Hobby/General interests + Lifestyle/General + Pets/Animals,28,0.00014165452485025094
Film/TV/Humor + Food + Lifestyle/General,28,0.00014165452485025094
Lifestyle/General + News/Society/Politics + Sports,28,0.00014165452485025094
Lifestyle/General + Music + Sports,26,0.00013153634450380444
Education/Explainers + Health/Fitness + News/Society/Politics,25,0.0001264772543305812
Entertainment/General + Film/TV/Humor + News/Society/Politics + Sports,25,0.0001264772543305812
Film/TV/Humor + News/Society/Politics + Religion,25,0.0001264772543305812
Hobby/General interests + Lifestyle/General + Pets/Animals + Travel,25,0.0001264772543305812
Health/Fitness + Lifestyle/General + Pets/Animals,24,0.00012141816415735794
Education/Explainers + Entertainment/General + Film/TV/Humor + Lifestyle/General + Music,23,0.0001163590739841347
Lifestyle/General + Sports + Video games,23,0.0001163590739841347
Entertainment/General + Fashion/Beauty + Hobby/General interests + Lifestyle/General,22,0.00011129998381091145
Entertainment/General + Film/TV/Humor + Health/Fitness,22,0.00011129998381091145
Film/TV/Humor + Lifestyle/General + Vehicles/Motorsport,22,0.00011129998381091145
Hobby/General interests + Lifestyle/General + Pets/Animals + Sports,22,0.00011129998381091145
Education/Explainers + Entertainment/General + Lifestyle/General + Technology,21,0.0001062408936376882
Entertainment/General + Film/TV/Humor + Lifestyle/General + Religion,21,0.0001062408936376882
Hobby/General interests + Lifestyle/General + News/Society/Politics + Religion,21,0.0001062408936376882
Hobby/General interests + Lifestyle/General + Sports + Travel,21,0.0001062408936376882
Education/Explainers + Entertainment/General + Film/TV/Humor + Health/Fitness + Lifestyle/General,20,0.00010118180346446496
